country_code,date_local,avg_value
EE,2020-11-13,5.22175
EE,2020-11-14,6.33475
EE,2020-11-15,7.468500000000001
EE,2020-11-16,6.305
EE,2020-11-17,4.25
EE,2020-11-18,3.15675
EE,2020-11-19,5.657500000000001
EE,2020-11-20,4.145
EE,2020-11-21,1.5592125000000001
EE,2020-11-22,1.34
EE,2020-11-23,4.47
EE,2020-11-24,7.75
EE,2020-11-25,6.3175
EE,2020-11-26,9.96
EE,2020-11-27,1.5375
EE,2020-11-28,1.4
EE,2020-11-29,6.63
EE,2020-11-30,4.01425
EE,2020-12-01,7.85
EE,2020-12-02,9.99
EE,2020-12-03,8.24
EE,2020-12-04,6.34
EE,2020-12-05,5.656666666666666
EE,2020-12-06,6.895
EE,2020-12-07,2.88225
EE,2020-12-08,2.9425
EE,2020-12-09,3.33
EE,2020-12-14,8.985
EE,2020-12-15,14.6
EE,2020-12-16,6.0897
EE,2020-12-17,2.2565
EE,2020-12-18,2.9905
EE,2020-12-19,4.58025
EE,2020-12-24,2.6777499999999996
EE,2020-12-26,1.19
EE,2020-12-27,1.01
EE,2020-12-29,2.40975
EE,2020-12-30,3.31
EE,2020-12-31,6.49425
EE,2021-01-01,9.677999999999999
EE,2021-01-02,4.215
EE,2021-01-03,2.70125
EE,2021-01-04,2.8175
EE,2021-01-05,3.6
EE,2021-01-06,3.68
EE,2021-01-07,3.6125
EE,2021-01-08,2.4375
EE,2021-01-09,2.7575
EE,2021-01-10,18.35
EE,2021-01-11,3.7
EE,2021-01-12,4.4350000000000005
EE,2021-01-13,9.08
EE,2021-01-14,9.81
EE,2021-01-15,8.29
EE,2021-01-16,4.6675
EE,2021-01-17,17.7
EE,2021-01-18,6.6425
EE,2021-01-19,7.3625
EE,2021-01-20,3.8825000000000003
EE,2021-01-21,15.7
EE,2021-01-22,15.219999999999999
EE,2021-01-27,8.535
EE,2021-01-28,3.74875
EE,2021-01-29,4.76
EE,2021-01-30,4.25
EE,2021-01-31,6.83
EE,2021-02-01,10.9
EE,2021-02-02,2.058
EE,2021-02-03,4.2524999999999995
EE,2021-02-04,0.5239999999999998
EE,2021-02-05,1.6250000000000002
EE,2021-02-06,1.0024999999999997
EE,2021-02-07,1.7750000000000001
EE,2021-02-08,0.6800000000000002
EE,2021-02-09,0.7849999999999995
EE,2021-02-10,2.7025
EE,2021-02-11,1.7175
EE,2021-02-12,-0.5150000000000003
EE,2021-02-13,2.2899999999999996
EE,2021-02-14,0.05750000000000011
EE,2021-02-15,5.01
EE,2021-02-16,0.0349999999999997
EE,2021-02-17,-0.05250000000000021
EE,2021-02-18,2.8625
EE,2021-02-19,5.1850000000000005
EE,2021-02-20,16.3
EE,2021-02-21,9.01275
EE,2021-02-22,12.7575
EE,2021-02-23,7.2250000000000005
EE,2021-02-24,8.097999999999999
EE,2021-02-25,7.1475
EE,2021-02-26,6.0725
EE,2021-02-27,2.4725
EE,2021-03-01,2.9525
EE,2021-03-02,2.355
EE,2021-03-03,2.96
EE,2021-03-04,0.8825
EE,2021-03-05,0.0
